,Tit_pag,link_pag
118,COLOCACIÓN 20-P,http://www.celex.izt.uam.mx/rescol20p.pdf
119,DIAGNÓSTICO 20-P,http://www.celex.izt.uam.mx/resdiag20p.pdf
120,COMPRENSIÓN DELECTURA 20-I,http://www.celex.izt.uam.mx/rescomp20i.pdf
121,COlOCACIÓN 20-I,http://www.celex.izt.uam.mx/rescol20i.pdf
122,COMPRENSIÓN DELECTURA 19-O,http://www.celex.izt.uam.mx/rescomp19o.pdf
123,COLOCACIÓN 19-O,http://www.celex.izt.uam.mx/rescol19o.pdf
124,DIAGNÓSTICO LISTA COMPLEMENTARIA 19-O,http://www.celex.izt.uam.mx/resdiagcomp19o.pdf
125,DIAGNÓSTICO 19-O,http://www.celex.izt.uam.mx/diagnostico19o.pdf
126,COMPRENSIÓN DELECTURA 19-P,http://www.celex.izt.uam.mx/resreq19p.pdf
127,COLOCACIÓN 19-P,http://www.celex.izt.uam.mx/rescol19p.pdf
128,DIAGNÓSTICO LISTACOMPLEMENTARIA 19-P,http://www.celex.izt.uam.mx/diagnosticocomp19p.pdf
129,DIAGNÓSTICO 19-P,http://www.celex.izt.uam.mx/diagnostico19p.pdf
130,COMPRENSIÓN DELECTURA 21-P,http://www.celex.izt.uam.mx/comprension21p.pdf
131,BOLETÍN 21-P,http://www.celex.izt.uam.mx/boletin21p.pdf
132,HORARIOS 21-P,http://www.celex.izt.uam.mx/horarios21p.pdf
133,INSTRUCTIVOCELEX,http://www.celex.izt.uam.mx/instructivocelex.pdf
134,"


SELECTED TOPICS IN ANGLOPHONE CULTURES 21-P: CULTURAL CROSSINGS



",http://www.celex.izt.uam.mx/ts21p.pdf
135,"


Programa de Enseñanza de Lenguas Extranjeras

",http://www.celex.izt.uam.mx/Programa_Lenguas.pdf
136,Da click aquí,http://www.celex.izt.uam.mx/pagoextracurricular21p.pdf
137,CBI,https://cbi.izt.uam.mx/
138,"

GUÍA PARA LA EVALUACIÓN DEL DESARROLLO DE AULAS VIRTUALES - Propuesta

",https://cbi.izt.uam.mx/images/SecretariaAcademica/Propuesta_ListaCOtejo_DesarrolloAulasVirtualesDCBI_v1.pdf
139,Preguntas frecuentes,https://cbi.izt.uam.mx/images/img-inicio/galeria/preguntas-frecuentes.pdf
140,"
",https://cbi.izt.uam.mx/images/Avisos/Nombramiento_Dra_Veronica_Medina_CODAI.pdf
141,"
                                                LEER MÁS.

                                                ",https://cbi.izt.uam.mx/images/solidaridad.jpeg
142,CSH,http://csh.izt.uam.mx/
143,Programa,http://dcsh.izt.uam.mx/home/wp-content/uploads/2021/02/Programa-XXV-Coloquio-de-Administración.pdf
144,Mayor información,http://dcsh.izt.uam.mx/home/wp-content/uploads/2021/02/LAURA-DEL-ALIZAL.jpeg
145,AQUÍ,http://dcsh.izt.uam.mx/home/wp-content/uploads/2021/02/DCSH-AVISO_CONCURSOS.pdf
146,Solicitud Registro Concurso Oposición,http://www.uam.mx/institucional/formatos/dipppa/01132015_Solicitud_de_Registro_a_Concurso_de_Oposicion.pdf
147,Skip to content,http://www.izt.uam.mx/#content
148,Comunícate,http://www.izt.uam.mx/index.php/comunicate-con-nosotros/
149,Rectoría,http://www.izt.uam.mx/index.php/rectoria-uami/
150,Dr. Rodrigo Díaz Cruz,http://www.izt.uam.mx/wp-content/uploads/2018/07/RDC-CV.pdf
151,Secretaría de Unidad,http://www.izt.uam.mx/index.php/secretaria/
152,Consejo Académico,http://www.izt.uam.mx/index.php/la-uami/consejo-academico/
153,Historia,http://www.izt.uam.mx/index.php/la-uami/historia/
154,Directorio,http://www2.izt.uam.mx/directorio/htmls/directorio.php
155,Aspirantes,http://aspirantesuami.izt.uam.mx
156,Licenciaturas,http://www.izt.uam.mx/index.php/oferta-educativa/licenciaturas/
157,  ,http://www.uam.mx/licenciaturas/pdfs/26_7b_Licenciatura_en_Fisica_IZT.pdf
158,Posgrados,http://www.izt.uam.mx/index.php/oferta-educativa/posgrados/doctorados/
159,Alumnos(as),http://www.izt.uam.mx/index.php/representantes/
160,Académicos(as),http://www.izt.uam.mx/index.php/nueva-firma-electronica-feu-2/
161,"

Descargar Manual 

",http://www.izt.uam.mx/wp-content/uploads/2018/11/Nueva-Firma-Electrónica-FEU.pptx
162,Personal UAMI,http://www.izt.uam.mx/index.php/estacionamiento/
163,Visitantes Recurrentes,http://www.izt.uam.mx/index.php/visitantes-recurrentes/
164,"PROCEDIMIENTO PARA LA GENERACIÓN DE PASE PEATONAL PARA VISITANTES RECURRENTES 
",http://www.izt.uam.mx/wp-content/uploads/2020/01/pase_visitante_recurrente_21ene2020.pdf
165,"FORMATOS PARA  PASE PEATONAL DE VISITANTES RECURRENTES
","http://www.izt.uam.mx/index.php/visitantes-recurrentes/
http:/www.izt.uam.mx/wp-content/uploads/2020/02/Formato_Pase_Visitante_2020.pdf"
166,AVISO DE PRIVACIDAD PARA SOLICITUD DE ADQUISICIÓN DE PASE DE VISITANTE RECURRENTE ,http://www.izt.uam.mx/wp-content/uploads/2020/01/Aviso-de-privacidad-para-la-solicitud-1.pdf
167,Unidad de Género,http://www.izt.uam.mx/index.php/genero-uami/
168,Profesores,http://www.izt.uam.mx/index.php/profesores/
169,Ayudantes,http://www.izt.uam.mx/index.php/docencia/ayudantes/
170,CBS,http://www.izt.uam.mx/index.php/cbs/
171,Cartelera Cultural,http://www.izt.uam.mx/index.php/cartelera-cultural/
172,Divulgación  Científica,http://www.izt.uam.mx/index.php/div-ciencia/
173,Vinculación,http://www.izt.uam.mx/index.php/vinculacion/
174,Comunicación,http://www.izt.uam.mx/index.php/comunicacion/
175,Lista de personal UAMI que cumplió años de servicio en 2020Detalles de ceremonia virtual y entrega física de relojes el 1 de octubreLeer más...,http://www.izt.uam.mx/index.php/lista-de-personal-uami-que-cumplio-anos-de-servicio-en-2020/
176,http://www.izt.uam.mx/index.php/modelo-academico/,http://www.izt.uam.mx/index.php/modelo-academico/
177,Infografía «Propuesta de Modelo Acádemico de la UAMI»,http://www.izt.uam.mx/wp-content/uploads/2021/08/Infografias-MODELO__1.jpg
178,Infografía «Modelo Acádemico de Construcción Colaborativa del Aprendizaje»,http://www.izt.uam.mx/wp-content/uploads/2021/08/Infografias-MODELO__2.jpg
179,Documento completo que expone los detalles del Modelo Educativo UAMI que será puesto a consulta próximamente entre la comunidad.,http://www.izt.uam.mx/wp-content/uploads/2021/08/Pro-Modelo-academico-UAM-I.pdf
180,"Te presentamos un resumen ejecutivo de 6 páginas con los puntos más sobresalientes del Modelo Educativo UAMI.
",http://www.izt.uam.mx/wp-content/uploads/2021/08/MACCA_Resumen-Ejecutivo.pdf
181,Maestría y Doctorado en Ciencias Económicas (MDCE) 2022Registro del 2 de agosto al 18 de octubre de 2021Leer más...,http://www.izt.uam.mx/index.php/maestria-y-doctorado-en-ciencias-economicas-mdce-2022/
182,Durante la emergencia sanitaria UAM ha continuado trabajando con clases y actividades a distanciaLeer más...,http://www.izt.uam.mx/index.php/durante-la-emergencia-sanitaria-uam-ha-continuado-trabajando-con-clases-y-actividades-a-distancia/
183,"
 ",http://contingencia.izt.uam.mx/
184,Avisos Consejo Académico,http://www.izt.uam.mx/index.php/avisos-consejo/
185, Leer más,http://www.izt.uam.mx/wp-content/uploads/2021/09/Orden_del_dia_S476.p.pdf
186, RECTORÍA GENERAL,http://www.izt.uam.mx/index.php/la-uami/avisos-rectoria-general/
187, Coordinación Divisional de Posgrado,http://www.cseuami.org/index.php/home/directorio/dir-cbi#coordinacion-divisional-de-posgrado
188, Coordinadores de Posgrado,http://www.cseuami.org/index.php/home/directorio/dir-cbi#coordinadores-de-posgrado
189, Coordinación de Docencia y Atención a Alumnos,http://www.cseuami.org/index.php/home/directorio/dir-cbi#coordinacion-de-docencia-y-atencion-a-alumnos
190, Coordinadores de Licenciatura,http://www.cseuami.org/index.php/home/directorio/dir-cbi#coordinadores-de-licenciatura
191, Reinscripción,http://www.cseuami.org/index.php/home/preguntas#reinscripcion
192, Inscripción,http://www.cseuami.org/index.php/home/preguntas#inscripcion
193, Bajas y Altas,http://www.cseuami.org/index.php/home/preguntas#bajas-y-altas
194, Evaluaciones de Recuperación,http://www.cseuami.org/index.php/home/preguntas#evaluaciones-de-recuperacion
195, Renuncia a UEA,http://www.cseuami.org/index.php/home/preguntas#renuncia-a-uea
196, Elección de Optativas,http://www.cseuami.org/index.php/home/preguntas#eleccion-de-optativas
197, Encuestas de Evaluación Docente,http://www.cseuami.org/index.php/home/preguntas#encuestas-de-evaluacion-docente
198, IMSS,http://www.cseuami.org/index.php/home/preguntas#imss
199, Cambio de Carrera,http://www.cseuami.org/index.php/home/preguntas#cambio-de-carrera
200, Cambio de Unidad a la misma División,http://www.cseuami.org/index.php/home/preguntas#cambio-de-unidad-a-la-misma-division
201, Cambio de División en la misma Unidad o en otra,http://www.cseuami.org/index.php/home/preguntas#cambio-de-division-en-la-misma-unidad-o-en-otra
202,http://www.cseuami.org/index.php/cambio-division,http://www.cseuami.org/index.php/cambio-division
203,Lerma,http://www.cseuami.org/documentos/licenciatura/formatos/cd_lerma.pdf
204,Iztapalapa,http://www.cseuami.org/documentos/licenciatura/formatos/cd_izt.pdf
205,Azcapotzalco,http://www.cseuami.org/documentos/licenciatura/formatos/cd_azc.pdf
206,Xochimilco,http://www.cseuami.org/documentos/licenciatura/formatos/cd_xoch.pdf
207,Cuajimalpa,http://www.cseuami.org/documentos/licenciatura/formatos/cd_cua.pdf
208,Solicitud Cambio de Carrera-División,http://www.cseuami.org/documentos/licenciatura/formatos/sol_cambio_div_2.pdf
209, Segunda Carrera,http://www.cseuami.org/index.php/home/preguntas#segunda-carrera
210, Prorroga para Terminar los Estudios,http://www.cseuami.org/index.php/home/preguntas#prorroga-para-terminar-los-estudios
211, 5ta. Oportunidad,http://www.cseuami.org/index.php/home/preguntas#5ta-oportunidad
212, Reingreso,http://www.cseuami.org/index.php/home/preguntas#reingreso
213, Acreditación de Estudios,http://www.cseuami.org/index.php/home/preguntas#acreditacion-de-estudios
214, Establecimiento de Equivalencias,http://www.cseuami.org/index.php/home/preguntas#establecimiento-de-equivalencias
215, Revalidación de Estudios,http://www.cseuami.org/index.php/home/preguntas#revalidacion-de-estudios
216, Revisión de Estudios para Certificado Total,http://www.cseuami.org/index.php/home/preguntas#revision-de-estudios-para-certificado-total
217, Titulación,http://www.cseuami.org/index.php/home/preguntas#titulacion
218, Firma de Título,http://www.cseuami.org/index.php/home/preguntas#firma-de-titulo
219, Entrega de Título,http://www.cseuami.org/index.php/home/preguntas#entrega-de-titulo
220, Conclusión de Créditos por Experiencia Laboral,http://www.cseuami.org/index.php/home/preguntas#conclusion-de-creditos-por-experiencia-laboral
221, Constancias,http://www.cseuami.org/index.php/home/preguntas#constancias
222, Credencial,http://www.cseuami.org/index.php/home/preguntas#credencial
223, Rectificación de Calificación,http://www.cseuami.org/index.php/home/preguntas#rectificacion-de-calificacion
224, Revisión de Examen Art.74 Del RES,http://www.cseuami.org/index.php/home/preguntas#revision-de-examen-art-74-del-res
225,https://www.celex.izt.uam.mx/celex/index.shtml,https://www.celex.izt.uam.mx/celex/index.shtml
226, SERVICIO SOCIAL,http://www.cseuami.org/index.php/home/preguntas#servicio-social
227, Baja Definitiva,http://www.cseuami.org/index.php/home/preguntas#baja-definitiva
228,http://www.cseuami.org/index.php/baja,http://www.cseuami.org/index.php/baja
229,Solicitud de Baja Definitiva,http://www.cseuami.org/documentos/licenciatura/formatos/baja_definitiva_peer_2.pdf
230, Movilidad de Alumnos,http://www.cseuami.org/index.php/home/preguntas#movilidad-de-alumnos
231,https://covia.izt.uam.mx/page/movilidad_estudiantil/alumnos,https://covia.izt.uam.mx/page/movilidad_estudiantil/alumnos
232,Mapa de la Unidad Iztapalapa,http://www.cseuami.org/index.php/home/ubicacion#mapa-de-la-unidad-iztapalapa
233,Google Maps,http://www.cseuami.org/index.php/home/ubicacion#google-maps
234,Ingeniería Biomédica,https://cbi.izt.uam.mx/coddaa/index.php/descripcion
235,Ingeniería Hidrológica,https://cbi.izt.uam.mx/coddaa/index.php/ih-desc
236,Ingeniería Química,https://cbi.izt.uam.mx/coddaa/index.php/iq-desc
237,Ingeniería en Energía,https://cbi.izt.uam.mx/coddaa/index.php/ene-desc
238,Física,https://cbi.izt.uam.mx/coddaa/index.php/fisica-desc
239,Ingeniería Electrónica,https://cbi.izt.uam.mx/coddaa/index.php/ie-desc
240,Matemáticas,https://cbi.izt.uam.mx/coddaa/index.php/mate-desc
241,Química,https://cbi.izt.uam.mx/coddaa/index.php/quim-desc
242,Computación,https://cbi.izt.uam.mx/coddaa/index.php/compu-desc
243,Ciencias Atmosféricas,https://cbi.izt.uam.mx/coddaa/index.php/catm-desc
244,Antropología Social,http://dcsh.izt.uam.mx/departamentos/antropologia/?page_id=7
